week,date,winner_team,winner_score,winner_rank,winner_side,winner_primary_color,winner_secondary_color,loser_team,loser_score,loser_rank,loser_side,loser_primary_color,loser_secondary_color,winner_team_clean,loser_team_clean,winner_conference,loser_conference
1,"Saturday, August 31, 2019",Kentucky,38,,home,#0032A0,#002880,Toledo,24,,away,#00205B,#001948,Kentucky,Toledo,Southeastern,Mid-American
1,"Saturday, August 31, 2019",Ohio,41,,home,#2C5234,#234129,Rhode Island,20,,away,#041E42,#031834,Ohio,Rhode Island,Mid-American,
1,"Saturday, August 31, 2019",West Virginia,20,,home,#002855,#002044,James Madison,13,,away,#330072,#28005b,West Virginia,James Madison,Big 12,
1,"Saturday, August 31, 2019",Temple,56,,home,#b30838,#8f062c,Bucknell,12,,away,#071D49,#05173a,Temple,Bucknell,American Athletic Conference,
1,"Saturday, August 31, 2019",Washington,47,13.0,home,#330072,#28005b,Eastern Wash.,14,,away,#A6192E,#841424,Washington,Eastern Wash.,Pac-12,
1,"Saturday, August 31, 2019",Eastern Mich.,30,,away,#046A38,#03542c,Coastal Carolina,23,,home,#007377,#005c5f,Eastern Michigan,Coastal Carolina,Mid-American,Sun Belt
1,"Saturday, August 31, 2019",North Carolina,24,,home,#7BAFD4,#628ca9,South Carolina,20,,away,#862633,#6b1e28,North Carolina,South Carolina,Atlantic Coast,Southeastern
1,"Saturday, August 31, 2019",Alabama,42,2.0,away,#9D2235,#7d1b2a,Duke,3,,home,#002D72,#00245b,Alabama,Duke,Southeastern,Atlantic Coast
1,"Saturday, August 31, 2019",Penn St.,79,15.0,home,#041E42,#031834,Idaho,7,,away,#896C4C,#6d563c,Penn State,Idaho,Big Ten,
1,"Saturday, August 31, 2019",Navy,45,,home,#00205B,#001948,Holy Cross,7,,away,#582C83,#462368,Navy,Holy Cross,American Athletic Conference,
1,"Saturday, August 31, 2019",Georgia St.,38,,away,#0032A0,#002880,Tennessee,30,,home,#FF8200,#cc6800,Georgia State,Tennessee,Sun Belt,Southeastern
1,"Saturday, August 31, 2019",Air Force,48,,home,#0032A0,#002880,Colgate,7,,away,#862633,#6b1e28,Air Force,Colgate,Mountain West,
1,"Saturday, August 31, 2019",Appalachian St.,42,,home,#010101,#000,ETSU,7,,away,#041E42,#031834,Appalachian State,ETSU,Sun Belt,
1,"Saturday, August 31, 2019",Stanford,17,25.0,home,#9D2235,#7d1b2a,Northwestern,7,,away,#4E2A84,#3e2169,Stanford,Northwestern,Pac-12,Big Ten
1,"Saturday, August 31, 2019",Boston College,35,,home,#862633,#6b1e28,Virginia Tech,28,,away,#861F41,#6b1834,Boston College,Virginia Tech,Atlantic Coast,Atlantic Coast
1,"Saturday, August 31, 2019",Arkansas,20,,home,#9D2235,#7d1b2a,Portland St.,13,,away,#154734,#103829,Arkansas,Portland State,Southeastern,
1,"Saturday, August 31, 2019",Texas Tech,45,,home,#DA291C,#ae2016,Montana St.,10,,away,#00205B,#001948,Texas Tech,Montana State,Big 12,
1,"Saturday, August 31, 2019",UTSA,35,,home,#0C2340,#091c33,UIW,7,,away,#CB333B,#a2282f,UTSA,UIW,Conference USA,
1,"Saturday, August 31, 2019",Troy,43,,home,#9D2235,#7d1b2a,Campbell,14,,away,#E87722,#b95f1b,Troy,Campbell,Sun Belt,
1,"Saturday, August 31, 2019",New Mexico,39,,home,#BA0C2F,#940925,Sam Houston St.,31,,away,#FE5000,#cb4000,New Mexico,Sam Houston State,Mountain West,
